Scheme ID,Research Area,Eligibility Criteria,Grant Amount Range,Duration (months),Application Deadline,Number of Applications Received,Number of Applications Funded
568,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,12,2023-03-13,224,80
569,Chemical Engineering,Researchers from developing countries,50000-100000,6,2023-11-19,1790,175
570,Environmental Science,Researchers from developing countries,5000-10000,12,2023-03-16,1922,27
571,Neuroscience,Early-career researchers with a PhD or equivalent degree,50000-100000,12,2023-01-30,680,52
572,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,6,2023-01-03,668,165
573,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,6,2023-05-02,1755,179
574,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,6,2023-01-29,474,28
575,Neuroscience,PhD students and postdoctoral fellows,500000-1000000,12,2023-05-21,1905,67
576,Neuroscience,Researchers from developing countries,5000-10000,6,2023-04-27,788,161
577,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,6,2023-04-16,1358,59
578,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,36,2023-06-20,1645,156
579,Electrical Engineering,PhD students and postdoctoral fellows,5000-10000,12,2023-02-26,1334,24
580,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,6,2023-10-31,1122,100
581,Medical Research,Early-career researchers with a PhD or equivalent degree,100000-500000,24,2023-02-23,198,137
582,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,24,2023-07-12,169,171
583,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,12,2023-12-25,1349,166
584,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,36,2023-07-19,1417,70
585,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,36,2023-01-09,237,88
586,Neuroscience,PhD students and postdoctoral fellows,100000-250000,6,2023-03-16,1363,79
587,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,24,2023-06-07,1586,73
588,Computer Science,Researchers from developing countries,20000-50000,36,2023-01-07,1930,18
589,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,12,2023-09-02,1943,97
590,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,36,2023-04-14,557,94
591,Electrical Engineering,PhD students and postdoctoral fellows,5000-10000,24,2023-01-21,1222,69
592,Neuroscience,Researchers from developing countries,5000-10000,24,2023-06-16,161,101
593,Computer Science,PhD students and postdoctoral fellows,25000-50000,12,2023-09-30,496,41
594,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,24,2023-08-20,390,183
595,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,24,2023-12-01,658,58
596,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,36,2023-09-21,1834,73
597,Electrical Engineering,PhD students and postdoctoral fellows,50000-100000,6,2023-12-12,289,153
598,Neuroscience,PhD students and postdoctoral fellows,5000-15000,6,2023-06-02,289,8
599,Medical Research,PhD students and postdoctoral fellows,50000-100000,36,2023-06-14,1453,78
600,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,36,2023-11-16,1149,28
601,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,12,2023-01-30,1712,192
602,Materials Science,PhD students and postdoctoral fellows,5000-15000,36,2023-09-03,1757,160
603,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,24,2023-02-28,1558,99
604,Chemical Engineering,Researchers from developing countries,100000-250000,36,2023-12-26,994,105
605,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,6,2023-11-04,663,178
606,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,6,2023-04-11,817,142
607,Neuroscience,Researchers from developing countries,5000-15000,6,2023-08-22,222,31
608,Medical Research,PhD students and postdoctoral fellows,5000-15000,12,2023-04-03,1896,52
609,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,36,2023-08-07,917,5
610,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,24,2023-08-26,1199,172
611,Electrical Engineering,PhD students and postdoctoral fellows,500000-1000000,12,2023-11-05,1132,51
612,Physics,Researchers from developing countries,100000-250000,12,2023-02-25,228,67
613,Computer Science,Early-career researchers with a PhD or equivalent degree,100000-250000,12,2023-05-20,258,71
614,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,36,2023-11-20,921,165
615,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,36,2023-06-02,1428,151
616,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,36,2023-01-13,1552,68
617,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,6,2023-03-28,1066,135
618,Computer Science,Researchers from developing countries,25000-50000,36,2023-03-12,1087,146
619,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,12,2023-03-27,1952,139
620,Environmental Science,Early-career researchers with a PhD or equivalent degree,500000-1000000,12,2023-10-14,850,150
621,Physics,Researchers from developing countries,20000-50000,36,2023-10-08,267,41
622,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,24,2023-01-22,1101,135
623,Environmental Science,Early-career researchers with a PhD or equivalent degree,5000-10000,12,2023-05-16,1914,54
624,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,12,2023-10-08,364,124
625,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,24,2023-03-07,1921,99
626,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,24,2023-10-05,1145,175
627,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,6,2023-07-06,1864,133
628,Medical Research,Researchers from developing countries,100000-500000,24,2023-06-11,898,24
629,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,6,2023-10-02,1412,138
630,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,24,2023-08-02,1593,47
631,Environmental Science,PhD students and postdoctoral fellows,50000-100000,12,2023-03-11,1501,135
632,Physics,PhD students and postdoctoral fellows,5000-15000,24,2023-10-01,1497,182
633,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,6,2023-11-15,1300,56
634,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,12,2023-09-03,1765,5
635,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,36,2023-11-12,1938,36
636,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,36,2023-06-08,803,159
637,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,6,2023-12-12,1655,57
638,Physics,Early-career researchers with a PhD or equivalent degree,50000-100000,36,2023-06-10,1176,13
639,Electrical Engineering,PhD students and postdoctoral fellows,20000-50000,24,2023-04-25,573,193
640,Neuroscience,Early-career researchers with a PhD or equivalent degree,25000-50000,24,2023-01-24,212,99
641,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,36,2023-05-03,666,72
642,Electrical Engineering,Researchers from developing countries,100000-500000,12,2023-05-19,1048,42
643,Medical Research,Early-career researchers with a PhD or equivalent degree,500000-1000000,36,2023-01-08,1296,46
644,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,36,2023-02-27,1027,155
645,Materials Science,PhD students and postdoctoral fellows,20000-50000,24,2023-09-02,411,45
646,Physics,Researchers from developing countries,20000-50000,24,2023-01-03,422,48
647,Physics,Researchers from developing countries,500000-1000000,24,2023-06-18,743,70
648,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,36,2023-06-03,1714,189
649,Medical Research,PhD students and postdoctoral fellows,100000-250000,24,2023-05-28,433,103
650,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,12,2023-01-21,301,36
651,Environmental Science,Researchers from developing countries,20000-50000,24,2023-05-31,620,160
652,Physics,Early-career researchers with a PhD or equivalent degree,5000-10000,36,2023-01-13,1667,136
653,Physics,Researchers from developing countries,100000-500000,24,2023-12-03,1533,161
654,Neuroscience,Early-career researchers with a PhD or equivalent degree,5000-15000,12,2023-03-31,1279,190
655,Electrical Engineering,Researchers from developing countries,100000-500000,6,2023-06-16,1040,42
656,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,12,2023-09-02,703,55
657,Environmental Science,Researchers from developing countries,100000-500000,6,2023-11-14,1178,8
658,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,6,2023-06-25,378,63
659,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,36,2023-05-19,1256,174
660,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,36,2023-09-28,1731,143
661,Electrical Engineering,Researchers from developing countries,25000-50000,24,2023-02-18,785,24
662,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,6,2023-01-15,408,10
663,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,12,2023-06-05,1660,194
664,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,24,2023-01-28,1842,188
665,Neuroscience,PhD students and postdoctoral fellows,25000-50000,24,2023-02-17,1140,19
666,Computer Science,PhD students and postdoctoral fellows,100000-500000,12,2023-01-20,291,82
667,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,24,2023-06-22,247,74
668,Computer Science,PhD students and postdoctoral fellows,20000-50000,36,2023-08-13,1288,104
669,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,12,2023-04-27,462,133
670,Computer Science,PhD students and postdoctoral fellows,5000-10000,24,2023-04-19,920,165
671,Electrical Engineering,PhD students and postdoctoral fellows,20000-50000,6,2023-07-20,1116,58
672,Environmental Science,PhD students and postdoctoral fellows,5000-10000,24,2023-04-03,978,43
673,Materials Science,PhD students and postdoctoral fellows,100000-500000,36,2023-04-20,1170,146
674,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,20000-50000,36,2023-10-14,855,88
675,Physics,PhD students and postdoctoral fellows,100000-250000,12,2023-11-06,1267,93
676,Computer Science,PhD students and postdoctoral fellows,100000-250000,24,2023-12-20,1918,10
677,Environmental Science,Early-career researchers with a PhD or equivalent degree,20000-50000,12,2023-03-06,499,19
678,Computer Science,Early-career researchers with a PhD or equivalent degree,5000-15000,6,2023-06-06,1111,56
679,Neuroscience,Early-career researchers with a PhD or equivalent degree,25000-50000,12,2023-05-28,1407,109
680,Neuroscience,Researchers from developing countries,500000-1000000,12,2023-11-07,543,156
681,Physics,PhD students and postdoctoral fellows,25000-50000,36,2023-11-30,1702,121
682,Chemical Engineering,Researchers from developing countries,50000-100000,6,2023-07-15,489,32
683,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,24,2023-03-22,894,141
684,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,6,2023-01-20,1304,176
685,Physics,PhD students and postdoctoral fellows,100000-500000,36,2023-03-20,1911,119
686,Neuroscience,Researchers from developing countries,100000-250000,6,2023-11-20,1119,77
687,Neuroscience,Early-career researchers with a PhD or equivalent degree,5000-10000,12,2023-11-23,459,154
688,Environmental Science,Early-career researchers with a PhD or equivalent degree,5000-15000,12,2023-02-01,1437,66
689,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,36,2023-08-14,408,163
690,Physics,PhD students and postdoctoral fellows,25000-50000,12,2023-04-03,1242,143
691,Materials Science,Researchers from developing countries,500000-1000000,12,2023-03-20,1702,189
692,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,6,2023-12-10,684,21
693,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,6,2023-08-24,1107,174
694,Chemical Engineering,PhD students and postdoctoral fellows,500000-1000000,12,2023-12-08,1466,26
695,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,24,2023-02-16,1747,116
696,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,36,2023-12-30,408,114
697,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,6,2023-03-05,601,96
698,Medical Research,Researchers from developing countries,100000-250000,24,2023-12-03,739,179
699,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,12,2023-06-15,1514,33
700,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,24,2023-12-22,1588,188
701,Neuroscience,Researchers from developing countries,5000-10000,12,2023-05-22,1126,112
702,Computer Science,Early-career researchers with a PhD or equivalent degree,5000-10000,36,2023-11-12,880,126
703,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,36,2023-10-29,1807,21
704,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,24,2023-03-21,923,162
705,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,36,2023-08-09,1272,25
706,Neuroscience,Researchers from developing countries,5000-10000,36,2023-10-13,557,67
707,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,24,2023-06-03,564,99
708,Medical Research,Early-career researchers with a PhD or equivalent degree,5000-15000,6,2023-05-16,1061,178
709,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,6,2023-02-19,657,151
710,Neuroscience,Researchers from developing countries,25000-50000,36,2023-04-20,641,139
711,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,12,2023-06-27,1796,64
712,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,24,2023-03-11,270,108
713,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,12,2023-03-17,1255,13
714,Materials Science,Researchers from developing countries,500000-1000000,6,2023-04-10,1987,158
715,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,12,2023-10-17,1656,83
716,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,12,2023-08-26,1291,140
717,Medical Research,PhD students and postdoctoral fellows,20000-50000,36,2023-07-16,1155,100
718,Neuroscience,PhD students and postdoctoral fellows,5000-15000,6,2023-12-26,1477,138
719,Electrical Engineering,Researchers from developing countries,100000-250000,12,2023-12-31,1265,68
720,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,6,2023-03-13,1612,144
721,Physics,PhD students and postdoctoral fellows,500000-1000000,36,2023-08-16,1391,93
722,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,6,2023-01-25,1602,103
723,Electrical Engineering,Researchers from developing countries,25000-50000,6,2023-02-21,1646,135
724,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,24,2023-08-28,1071,173
725,Electrical Engineering,Researchers from developing countries,100000-250000,24,2023-06-04,331,87
726,Electrical Engineering,Researchers from developing countries,500000-1000000,24,2023-06-12,1462,54
727,Environmental Science,Researchers from developing countries,20000-50000,24,2023-08-29,503,181
728,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,24,2023-01-21,1929,156
729,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,36,2023-03-13,1847,95
730,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,24,2023-10-13,1111,30
731,Environmental Science,Early-career researchers with a PhD or equivalent degree,100000-500000,24,2023-06-18,374,8
732,Computer Science,PhD students and postdoctoral fellows,25000-50000,6,2023-03-06,1150,47
733,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,24,2023-05-07,877,8
734,Neuroscience,Early-career researchers with a PhD or equivalent degree,100000-500000,12,2023-07-09,548,144
735,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,24,2023-10-29,678,144
736,Neuroscience,Early-career researchers with a PhD or equivalent degree,500000-1000000,12,2023-03-10,890,174
737,Materials Science,Early-career researchers with a PhD or equivalent degree,5000-10000,24,2023-11-27,1835,65
738,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,36,2023-07-09,1483,149
739,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,6,2023-03-31,57,21
740,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,12,2023-06-07,574,181
741,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,6,2023-08-10,707,103
742,Materials Science,Early-career researchers with a PhD or equivalent degree,100000-250000,12,2023-02-26,719,67
743,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,24,2023-01-05,1780,71
744,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,36,2023-08-12,1317,22
745,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,24,2023-05-05,1431,124
746,Electrical Engineering,Researchers from developing countries,100000-250000,24,2023-10-21,1293,163
747,Medical Research,Researchers from developing countries,500000-1000000,24,2023-01-24,1875,12
748,Environmental Science,Early-career researchers with a PhD or equivalent degree,20000-50000,36,2023-09-21,1531,170
749,Medical Research,Early-career researchers with a PhD or equivalent degree,500000-1000000,6,2023-08-05,1920,115
750,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,12,2023-09-29,184,164
751,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,24,2023-01-20,1153,180
752,Physics,Researchers from developing countries,100000-500000,24,2023-06-21,210,135
753,Materials Science,Researchers from developing countries,20000-50000,24,2023-09-07,112,186
754,Environmental Science,Early-career researchers with a PhD or equivalent degree,100000-250000,6,2023-07-11,1650,136
755,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,25000-50000,24,2023-09-20,1198,58
756,Medical Research,Researchers from developing countries,100000-500000,12,2023-05-11,330,28
757,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,36,2023-07-17,1467,55
758,Electrical Engineering,PhD students and postdoctoral fellows,50000-100000,6,2023-12-10,1047,155
759,Physics,Researchers from developing countries,100000-250000,24,2023-07-06,1987,149
760,Computer Science,Researchers from developing countries,500000-1000000,24,2023-05-01,1829,92
761,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,24,2023-05-04,1740,187
762,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,36,2023-05-10,650,84
763,Electrical Engineering,Researchers from developing countries,5000-10000,24,2023-07-15,608,176
764,Neuroscience,Early-career researchers with a PhD or equivalent degree,100000-250000,36,2023-01-10,1244,137
765,Physics,Researchers from developing countries,25000-50000,12,2023-03-30,603,63
766,Computer Science,Early-career researchers with a PhD or equivalent degree,100000-250000,6,2023-04-04,1892,140
767,Chemical Engineering,Researchers from developing countries,5000-15000,24,2023-08-18,1020,134
768,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,500000-1000000,36,2023-09-24,1746,191
769,Physics,Early-career researchers with a PhD or equivalent degree,5000-10000,6,2023-12-09,725,137
770,Chemical Engineering,Researchers from developing countries,100000-500000,12,2023-05-02,1002,47
771,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,24,2023-11-29,1061,173
772,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,36,2023-03-22,1715,152
773,Neuroscience,Early-career researchers with a PhD or equivalent degree,5000-10000,6,2023-06-20,1432,5
774,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,5000-15000,6,2023-04-19,585,25
775,Electrical Engineering,Researchers from developing countries,25000-50000,36,2023-02-27,1818,161
776,Materials Science,Early-career researchers with a PhD or equivalent degree,25000-50000,24,2023-01-05,1904,13
777,Medical Research,Early-career researchers with a PhD or equivalent degree,100000-250000,6,2023-04-07,509,71
778,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,12,2023-12-21,1928,112
779,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,12,2023-06-03,62,114
780,Computer Science,Researchers from developing countries,50000-100000,24,2023-03-29,1178,50
781,Chemical Engineering,PhD students and postdoctoral fellows,500000-1000000,6,2023-02-16,1476,123
782,Physics,PhD students and postdoctoral fellows,20000-50000,6,2023-09-08,293,26
783,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,36,2023-10-18,961,8
784,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,5000-15000,36,2023-04-13,398,167
785,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,100000-250000,24,2023-06-25,1473,82
786,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,24,2023-03-03,406,16
787,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,100000-500000,12,2023-07-07,167,171
788,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,6,2023-06-27,348,71
789,Electrical Engineering,PhD students and postdoctoral fellows,25000-50000,36,2023-12-08,1029,75
790,Electrical Engineering,Researchers from developing countries,50000-100000,6,2023-10-28,1315,21
791,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,12,2023-01-19,315,198
792,Medical Research,Early-career researchers with a PhD or equivalent degree,500000-1000000,6,2023-03-12,1369,40
793,Physics,Researchers from developing countries,50000-100000,24,2023-08-14,967,38
794,Electrical Engineering,Researchers from developing countries,50000-100000,6,2023-06-21,132,5
795,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,24,2023-07-04,1505,69
796,Materials Science,PhD students and postdoctoral fellows,100000-500000,6,2023-05-06,882,126
797,Medical Research,Researchers from developing countries,20000-50000,36,2023-06-20,685,154
798,Materials Science,PhD students and postdoctoral fellows,5000-15000,12,2023-08-06,839,47
799,Materials Science,Researchers from developing countries,20000-50000,36,2023-06-28,1505,196
800,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,6,2023-11-28,1904,166
801,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,6,2023-01-31,821,178
802,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,24,2023-03-28,821,168
803,Physics,Researchers from developing countries,5000-10000,24,2023-03-25,761,28
804,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,36,2023-02-13,473,162
805,Electrical Engineering,Researchers from developing countries,25000-50000,24,2023-12-31,474,126
806,Chemical Engineering,PhD students and postdoctoral fellows,20000-50000,36,2023-02-08,1800,120
807,Environmental Science,Early-career researchers with a PhD or equivalent degree,5000-15000,6,2023-12-06,376,124
808,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,6,2023-02-13,1725,23
809,Materials Science,Researchers from developing countries,500000-1000000,36,2023-11-16,1180,61
810,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,24,2023-07-20,1498,15
811,Medical Research,PhD students and postdoctoral fellows,100000-500000,24,2023-01-10,1058,126
812,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,12,2023-11-14,176,71
813,Environmental Science,PhD students and postdoctoral fellows,25000-50000,36,2023-12-26,886,173
814,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,36,2023-08-11,1692,15
815,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,12,2023-12-14,1443,40
816,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,12,2023-08-05,230,74
817,Physics,Researchers from developing countries,25000-50000,6,2023-03-02,1534,48
818,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,6,2023-12-18,1406,125
819,Neuroscience,Researchers from developing countries,50000-100000,36,2023-02-13,465,66
820,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,12,2023-11-19,1202,147
821,Neuroscience,Early-career researchers with a PhD or equivalent degree,20000-50000,6,2023-01-13,1617,102
822,Materials Science,Early-career researchers with a PhD or equivalent degree,500000-1000000,36,2023-04-15,1909,54
823,Neuroscience,PhD students and postdoctoral fellows,50000-100000,36,2023-07-23,1359,21
824,Neuroscience,PhD students and postdoctoral fellows,5000-15000,36,2023-05-06,1865,162
825,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,6,2023-11-20,74,15
826,Chemical Engineering,Researchers from developing countries,100000-500000,6,2023-09-24,1601,84
827,Neuroscience,Early-career researchers with a PhD or equivalent degree,100000-500000,6,2023-02-18,1204,101
828,Medical Research,Early-career researchers with a PhD or equivalent degree,500000-1000000,12,2023-12-16,345,118
829,Materials Science,Researchers from developing countries,100000-250000,24,2023-01-28,1473,14
830,Materials Science,PhD students and postdoctoral fellows,50000-100000,36,2023-08-31,533,28
831,Environmental Science,PhD students and postdoctoral fellows,20000-50000,6,2023-01-02,1829,172
832,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,25000-50000,24,2023-09-24,1187,144
833,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,6,2023-09-15,206,98
834,Materials Science,Researchers from developing countries,5000-10000,36,2023-05-13,1519,130
835,Medical Research,PhD students and postdoctoral fellows,100000-250000,36,2023-12-27,566,11
836,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,6,2023-03-17,186,192
837,Physics,Early-career researchers with a PhD or equivalent degree,500000-1000000,24,2023-03-17,674,82
838,Chemical Engineering,PhD students and postdoctoral fellows,100000-250000,36,2023-07-09,1949,98
839,Environmental Science,PhD students and postdoctoral fellows,25000-50000,12,2023-12-08,570,97
840,Chemical Engineering,PhD students and postdoctoral fellows,25000-50000,24,2023-03-08,166,147
841,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,6,2023-06-28,638,88
842,Environmental Science,Researchers from developing countries,5000-15000,12,2023-12-31,663,170
843,Medical Research,PhD students and postdoctoral fellows,100000-500000,24,2023-06-06,1338,189
844,Neuroscience,Researchers from developing countries,5000-15000,12,2023-03-26,1425,113
845,Neuroscience,PhD students and postdoctoral fellows,500000-1000000,24,2023-06-22,1609,180
846,Physics,Researchers from developing countries,500000-1000000,12,2023-10-13,1436,196
847,Physics,Researchers from developing countries,100000-500000,24,2023-07-09,225,63
848,Physics,Researchers from developing countries,25000-50000,6,2023-06-29,706,20
849,Neuroscience,Early-career researchers with a PhD or equivalent degree,500000-1000000,36,2023-02-25,1208,17
850,Physics,Researchers from developing countries,25000-50000,12,2023-09-16,601,170
851,Environmental Science,Researchers from developing countries,20000-50000,36,2023-04-07,1764,134
852,Environmental Science,Early-career researchers with a PhD or equivalent degree,20000-50000,12,2023-05-18,1159,44
